id_entrega;id_pedido;data_entrega;transportadora; custo_frete 
1;1;16/05/2024;ExpressA; 35.81 
2;2;30/03/2024;ExpressA; 18.39 
3;3;18/01/2024;ExpressA; 11.4 
4;4;28/11/2024;ExpressA; 25.61 
5;5;29/12/2024;SolidZ; 3.88 
6;6;23/06/2024;SolidZ; 55.45 
7;7;02/04/2024;SolidZ; 13.57 
8;8;31/07/2024;SolidZ; 443.8 
9;9;10/12/2024;SolidZ; 25.13 
10;10;02/03/2024;SolidZ; 42.58 
11;11;01/01/2025;SolidZ; 15.28 
12;12;07/08/2024;SolidZ; 8.26 
13;13;03/03/2024;SolidZ; 425.46 
14;14;03/11/2024;SolidZ; 11.04 
15;15;17/06/2024;SolidZ; 37.44 
16;16;12/01/2024;SolidZ; 21.07 
17;17;05/08/2024;SolidZ; 33.78 
18;18;18/03/2024;ExpressA; 454.29 
19;19;22/08/2024;ExpressA; 49.09 
20;20;21/04/2024;ExpressA; 18.31 
21;21;08/03/2024;SolidZ; 22.43 
22;23;23/07/2024;SolidZ; 38.83 
23;24;27/07/2024;SolidZ; 27.32 
24;25;12/10/2024;SolidZ; 28.89 
25;26;16/04/2024;ExpressA; 9.47 
26;27;30/08/2024;ExpressA; 59.64 
27;28;25/08/2024;ExpressA; 6.64 
28;29;24/06/2024;SolidZ; 281.88 
29;30;31/07/2024;SolidZ; 33.43 
30;31;01/02/2024;SolidZ; 46.88 
31;32;25/08/2024;SolidZ; 50.93 
32;33;29/08/2024;ExpressA; 11.4 
33;35;16/07/2024;ExpressA; 477.02 
34;36;26/09/2024;ExpressA; 36.92 
35;37;21/06/2024;SolidZ; 34.57 
36;38;22/12/2024;SolidZ; 45.44 
37;39;20/11/2024;SolidZ; 14.82 
38;40;02/12/2024;SolidZ; 365.98 
39;41;22/08/2024;SolidZ; 12.03 
40;42;02/07/2024;SolidZ; 21.69 
41;43;26/12/2024;SolidZ; 53.46 
42;44;02/10/2024;SolidZ; 1.3 
43;45;04/02/2024;SolidZ; 210.09 
44;46;25/06/2024;ExpressA; 13.71 
45;47;07/03/2024;ExpressA; 10.33 
46;48;17/07/2024;ExpressA; 50.41 
47;49;30/01/2024;ExpressA; 31.48 
48;50;30/05/2024;ExpressA; 60.75 
49;51;31/10/2024;ExpressA; 24.98 
50;52;25/09/2024;SolidZ; 23.61 
51;53;28/03/2024;ExpressA; 9.07 
52;54;06/03/2024;ExpressA; 36.08 
53;56;02/01/2025;ExpressA; 382.16 
54;57;23/03/2024;ExpressA; 10.01 
55;58;17/11/2024;ExpressA; 16.1 
56;59;23/11/2024;ExpressA; 6.25 
57;60;09/04/2024;ExpressA; 6.84 
58;61;14/03/2024;ExpressA; 442.18 
59;62;25/11/2024;ExpressA; 5.9 
60;63;30/01/2024;ExpressA; 5.24 
61;64;06/05/2024;ExpressA; 56.46 
62;65;29/07/2024;ExpressA; 29.22 
63;66;01/10/2024;ExpressA; 54.95 
64;67;31/07/2024;ExpressA; 48.6 
65;68;14/05/2024;SolidZ; 7.78 
66;69;06/06/2024;SolidZ; 46.12 
67;70;19/02/2024;SolidZ; 2.00 
68;71;22/12/2024;SolidZ; 314.15 
69;72;30/12/2024;SolidZ; 27.56 
70;73;23/01/2024;SolidZ; 10.8 
71;74;26/03/2024;SolidZ; 38.8 
72;75;21/08/2024;SolidZ; 27.94 
73;76;02/03/2024;SolidZ; 400.18 
74;77;07/07/2024;SolidZ; 43.86 
75;78;01/03/2024;SolidZ; 25.75 
76;79;15/09/2024;SolidZ; 29.72 
77;80;12/06/2024;SolidZ; 28.14 
78;81;28/10/2024;ExpressA; 365.96 
79;82;04/11/2024;ExpressA; 18.13 
80;83;02/01/2024;ExpressA; 25.48 
81;84;29/09/2024;SolidZ; 35.36 
82;85;23/05/2024;SolidZ; 44.48 
83;87;20/12/2024;SolidZ; 115.97 
84;88;06/12/2024;SolidZ; 29.61 
85;89;13/08/2024;SolidZ; 41.07 
86;90;29/06/2024;SolidZ; 51.53 
87;91;26/01/2024;SolidZ; 36.1 
88;92;20/12/2024;SolidZ; 444.66 
89;93;08/02/2024;ExpressA; 17.07 
90;94;17/04/2024;ExpressA; 25.62 
91;95;26/10/2024;ExpressA; 46.91 
92;96;16/08/2024;ExpressA; 12.23 
93;97;10/11/2024;ExpressA; 188.93 
94;98;07/04/2024;ExpressA; 41.64 
95;99;10/10/2024;ExpressA; 38.62 
96;100;19/04/2024;ExpressA; 58.29 
97;101;08/02/2024;ExpressA; 44.82 
98;102;10/02/2024;ExpressA; 124.17 
99;103;28/03/2024;ExpressA; 45.07 
100;104;28/10/2024;ExpressA; 5.18 
101;105;08/07/2024;SolidZ; 42.76 
102;106;28/08/2024;SolidZ; 10.26 
103;107;26/12/2024;SolidZ; 153.65 
104;109;19/01/2024;SolidZ; 13.53 
105;110;14/12/2024;SolidZ; 33.82 
106;111;21/11/2024;SolidZ; 11.18 
107;112;20/09/2024;ExpressA; 4.61 
108;113;06/06/2024;ExpressA; 172.96 
109;114;01/11/2024;ExpressA; 31.4 
110;115;22/04/2024;SolidZ; 12.77 
111;116;26/05/2024;SolidZ; 18.43 
112;117;12/09/2024;SolidZ; 32.02 
113;118;20/01/2024;SolidZ; 55.88 
114;119;03/07/2024;SolidZ; 22.62 
115;120;16/10/2024;SolidZ; 47.12 
116;121;10/05/2024;SolidZ; 24.18 
117;122;09/10/2024;SolidZ; 19.79 
118;123;02/09/2024;SolidZ; 370.41 
119;124;11/01/2024;SolidZ; 39.06 
120;125;11/07/2024;SolidZ; 38.6 
121;126;15/11/2024;ExpressA; 59.87 
122;127;08/01/2024;ExpressA; 3.63 
