id_pedido;id_produto;quantidade;preco_unitario;desconto
1;8;3;524.91;0.19
1;3;4;129.79;0.08
1;8;4;835.29;0.16
1;4;5;299.82;0.08
1;3;4;22.11;0.23
2;2;9;452.95;0.17
2;8;10;462.32;0.01
3;1;6;536.15;0.13
3;3;6;798.91;0.05
3;5;3;798.59;0.17
3;8;1;115.01;0.07
4;3;6;866.08;0.17
5;6;5;216.83;0.23
5;1;6;28.23;0.19
5;6;5;582.63;0.14
5;2;10;847.65;0.01
6;8;4;38.24;0.04
6;2;8;199.81;0.11
6;10;7;430.26;0.0
6;9;5;34.54;0.28
6;2;3;120.68;0.06
7;5;9;783.96;0.27
7;1;2;338.56;0.15
7;5;6;665.01;0.0
7;9;2;97.39;0.02
8;3;10;792.25;0.17
9;5;2;688.31;0.29
9;5;4;268.51;0.16
9;6;5;532.8;0.11
9;3;7;721.73;0.21
9;2;2;363.18;0.07
10;9;1;389.32;0.08
10;8;3;423.6;0.21
11;5;2;399.25;0.22
12;5;2;201.71;0.11
12;2;7;133.56;0.23
12;1;10;871.17;0.16
12;10;7;36.66;0.01
13;4;9;465.15;0.19
14;5;2;898.66;0.25
14;4;5;894.72;0.11
14;7;6;289.27;0.04
14;9;9;26.76;0.28
14;9;9;184.5;0.27
15;10;10;468.62;0.21
15;1;4;109.18;0.27
15;6;3;241.27;0.08
15;7;9;622.34;0.23
16;1;8;126.09;0.02
16;4;9;391.39;0.28
17;1;10;736.81;0.09
17;3;2;226.54;0.07
17;7;9;783.1;0.01
18;8;7;121.44;0.2
18;7;2;379.54;0.28
19;5;5;80.97;0.15
20;4;10;269.76;0.23
20;4;9;985.87;0.12
20;4;1;560.52;0.29
21;1;5;545.44;0.04
21;7;4;591.87;0.07
21;10;9;521.46;0.22
21;10;5;968.94;0.01
21;5;8;888.66;0.24
22;5;3;276.94;0.0
22;2;10;759.84;0.15
22;8;5;703.88;0.08
22;9;1;504.93;0.06
23;9;10;790.69;0.09
23;4;9;871.34;0.11
23;3;8;842.79;0.24
23;7;10;892.8;0.19
24;4;10;468.42;0.23
24;4;9;926.3;0.24
24;7;6;436.07;0.03
24;3;4;78.6;0.01
24;8;4;607.1;0.07
25;5;3;629.85;0.14
26;7;7;600.07;0.16
26;1;2;329.38;0.01
27;9;9;853.81;0.06
27;10;7;218.64;0.19
27;8;2;427.03;0.26
28;3;4;795.25;0.2
28;2;6;919.91;0.05
28;1;8;64.3;0.14
28;8;2;849.28;0.21
28;6;8;648.12;0.05
29;8;10;151.29;0.12
30;5;2;840.02;0.22
31;9;10;859.9;0.06
31;9;9;302.82;0.19
31;6;10;744.25;0.27
32;7;2;184.78;0.23
32;6;10;207.91;0.17
32;4;3;143.87;0.07
32;4;7;167.11;0.1
32;2;5;467.97;0.18
33;9;5;257.6;0.13
33;9;3;876.7;0.27
34;9;9;209.77;0.03
34;2;1;302.93;0.15
35;3;7;856.59;0.18
35;1;7;318.28;0.26
35;10;2;819.38;0.03
35;5;6;667.14;0.2
35;6;6;495.63;0.08
36;4;5;117.59;0.2
36;3;9;507.31;0.06
36;6;1;662.24;0.15
36;6;3;568.08;0.25
37;3;3;250.68;0.08
37;4;8;795.77;0.19
38;5;4;776.94;0.15
38;7;4;430.01;0.06
38;10;6;410.58;0.25
38;10;6;861.66;0.03
39;4;1;613.64;0.17
39;2;10;896.04;0.17
39;4;4;370.79;0.01
39;6;3;82.63;0.02
39;6;10;637.24;0.25
40;9;1;938.38;0.2
41;8;1;383.63;0.03
41;4;2;128.49;0.03
41;3;9;501.57;0.23
41;5;9;683.56;0.01
41;9;9;219.52;0.2
42;9;6;349.37;0.28
43;10;3;706.13;0.17
43;9;6;298.42;0.09
43;8;8;117.99;0.2
43;3;1;871.59;0.19
43;2;1;934.09;0.03
44;2;3;118.09;0.15
44;1;6;891.85;0.27
44;3;2;871.46;0.2
44;3;7;144.7;0.23
45;1;3;550.91;0.2
45;3;3;232.02;0.1
45;6;7;598.64;0.26
45;2;5;974.59;0.02
46;3;6;685.78;0.23
46;7;6;244.58;0.25
46;6;10;924.28;0.26
46;9;5;364.01;0.02
46;8;9;591.64;0.27
47;3;2;594.24;0.16
48;9;8;647.23;0.15
48;2;6;896.42;0.29
48;8;10;626.13;0.12
48;8;9;457.86;0.28
48;4;7;766.88;0.08
49;9;5;492.55;0.09
50;1;4;135.1;0.05
50;6;2;617.27;0.2
50;5;9;923.16;0.16
50;6;4;441.03;0.02
51;6;8;182.69;0.13
51;4;6;775.23;0.17
51;10;7;520.24;0.08
52;3;3;170.05;0.23
52;5;2;96.91;0.18
53;1;4;405.48;0.04
53;9;3;461.59;0.15
53;5;1;390.79;0.18
53;8;1;602.64;0.0
54;6;2;307.27;0.19
54;7;2;546.28;0.06
54;3;6;364.02;0.11
54;7;7;318.89;0.23
54;4;3;751.59;0.24
55;5;4;360.6;0.17
55;8;3;882.37;0.14
55;3;4;627.34;0.29
55;7;2;132.25;0.12
55;5;5;340.28;0.13
56;1;7;494.64;0.12
57;9;1;468.1;0.22
57;7;5;468.1;0.07
58;3;5;69.91;0.21
58;2;4;927.6;0.28
58;4;8;454.69;0.07
58;5;2;802.05;0.26
59;10;10;37.11;0.29
59;9;8;887.25;0.13
60;2;5;782.32;0.28
60;7;3;19.23;0.29
61;1;8;421.09;0.21
61;7;9;172.5;0.04
61;5;10;996.92;0.09
61;2;7;73.91;0.1
62;4;4;60.36;0.05
63;10;7;452.14;0.28
64;8;8;979.53;0.14
65;6;1;774.98;0.21
65;3;7;889.35;0.27
65;10;6;678.52;0.28
66;3;8;876.95;0.12
66;4;7;312.79;0.06
67;5;10;508.28;0.09
67;3;2;246.43;0.02
67;8;4;105.52;0.15
68;2;6;851.85;0.05
69;9;6;258.97;0.08
69;9;2;591.25;0.0
69;5;6;280.15;0.28
69;2;5;203.73;0.24
70;2;6;763.63;0.23
70;8;3;783.13;0.04
71;3;2;135.39;0.24
71;4;3;593.42;0.16
71;8;10;157.85;0.25
71;8;8;811.99;0.19
72;9;1;245.76;0.16
72;7;8;276.17;0.15
72;7;2;90.4;0.22
72;10;9;71.05;0.14
72;3;2;650.97;0.01
73;8;3;960.95;0.3
73;5;8;911.99;0.28
74;7;10;319.03;0.28
74;8;5;836.21;0.14
74;3;2;938.86;0.16
74;9;10;269.88;0.22
75;7;9;96.7;0.06
76;4;3;567.66;0.18
76;3;5;540.95;0.2
76;8;5;885.28;0.13
77;5;10;317.96;0.07
77;7;10;683.79;0.2
77;10;8;384.5;0.27
77;2;6;121.63;0.12
78;6;7;398.37;0.16
78;10;3;947.49;0.08
78;5;9;766.53;0.13
78;6;8;651.44;0.06
78;4;7;318.12;0.23
79;10;6;139.45;0.07
80;7;3;617.81;0.21
80;5;7;901.85;0.14
80;3;4;848.81;0.3
80;8;3;546.09;0.09
80;6;1;477.55;0.09
81;2;6;17.9;0.29
81;6;1;619.4;0.25
81;4;9;932.53;0.12
82;4;3;965.66;0.3
82;8;1;599.34;0.03
82;1;9;317.58;0.24
82;8;8;933.26;0.27
82;2;1;549.55;0.03
83;10;2;699.95;0.09
83;2;2;737.59;0.2
83;8;10;586.34;0.11
83;10;9;986.04;0.02
84;3;2;315.54;0.14
84;10;4;525.84;0.23
84;9;6;530.42;0.22
84;1;9;614.45;0.2
85;2;6;160.75;0.26
86;9;9;384.62;0.26
86;8;1;334.74;0.23
86;10;4;886.49;0.13
87;10;10;249.28;0.22
87;6;7;863.1;0.08
87;9;7;626.53;0.27
88;7;2;692.49;0.23
88;4;10;772.57;0.3
89;10;3;617.78;0.1
89;6;3;571.94;0.23
90;1;9;251.16;0.17
90;4;6;773.88;0.11
90;4;6;408.96;0.03
90;8;2;127.87;0.01
91;1;9;418.83;0.05
91;1;3;410.04;0.23
91;8;2;155.48;0.3
91;10;5;577.09;0.19
91;1;3;946.48;0.16
92;10;7;786.95;0.22
92;10;10;127.1;0.01
92;5;9;655.8;0.05
92;7;6;471.39;0.03
92;5;7;429.54;0.27
93;6;9;197.11;0.17
94;8;2;298.93;0.12
94;6;8;762.13;0.13
94;1;1;879.09;0.28
95;9;3;19.46;0.17
95;2;10;960.01;0.11
95;10;9;408.01;0.21
95;2;9;888.63;0.04
96;6;1;584.78;0.28
96;4;8;755.99;0.13
96;1;4;432.37;0.11
96;7;5;918.52;0.11
96;8;7;340.89;0.23
97;9;10;424.5;0.23
97;6;4;310.77;0.23
98;8;7;591.44;0.2
98;3;9;479.56;0.21
98;6;2;217.39;0.12
98;5;8;370.42;0.18
99;9;7;475.26;0.05
100;10;5;277.27;0.03
100;6;1;100.61;0.09
100;9;3;977.21;0.08
100;7;7;486.65;0.12
101;8;2;123.78;0.17
101;6;8;707.77;0.13
101;9;8;38.2;0.03
101;1;7;217.1;0.08
101;2;1;72.29;0.17
102;7;7;80.83;0.23
103;6;7;650.22;0.28
103;1;7;422.94;0.17
104;7;7;624.17;0.12
104;6;1;246.24;0.25
105;10;7;209.2;0.09
105;6;3;811.73;0.02
105;6;4;65.37;0.13
105;8;9;521.72;0.11
105;7;5;440.43;0.2
106;3;1;480.89;0.02
107;7;9;437.28;0.07
107;6;10;336.16;0.16
108;3;5;41.38;0.2
109;10;8;334.46;0.27
109;7;2;858.11;0.25
109;10;4;730.77;0.04
109;4;7;334.43;0.25
110;2;9;407.72;0.3
110;5;1;699.1;0.27
110;3;10;988.62;0.21
111;9;4;520.22;0.26
111;5;8;560.33;0.09
111;2;3;482.28;0.09
112;6;7;551.03;0.05
112;8;8;367.33;0.18
112;3;2;419.86;0.24
113;6;7;564.68;0.13
113;7;5;891.74;0.2
114;4;10;569.13;0.25
114;2;3;287.12;0.29
114;6;6;171.47;0.1
114;9;2;605.09;0.3
114;6;3;53.04;0.09
115;7;7;874.58;0.05
115;3;3;177.06;0.27
115;2;10;450.27;0.27
116;2;1;826.18;0.23
116;1;3;116.7;0.16
116;3;6;785.47;0.09
116;3;10;112.82;0.17
116;6;8;753.79;0.02
117;3;4;157.86;0.0
117;2;3;636.58;0.15
117;5;4;669.22;0.25
118;9;7;626.11;0.04
118;8;4;285.73;0.28
118;1;9;583.51;0.18
118;4;1;175.02;0.01
119;8;6;313.34;0.3
119;7;6;195.18;0.06
119;5;2;509.0;0.12
120;8;5;829.84;0.3
120;10;2;595.54;0.27
120;4;4;729.54;0.1
120;8;5;830.35;0.2
120;4;4;59.93;0.28
121;10;2;584.13;0.26
121;6;2;802.12;0.24
122;2;5;815.1;0.12
122;9;6;358.21;0.14
122;1;6;549.71;0.14
122;1;6;379.26;0.28
123;9;9;158.31;0.23
123;6;9;392.82;0.11
123;5;6;39.05;0.15
123;4;4;481.69;0.09
123;8;10;754.89;0.1
124;7;4;52.37;0.22
125;10;10;475.97;0.13
125;3;3;819.69;0.15
125;8;2;442.05;0.11
126;6;3;465.97;0.05
126;10;10;992.05;0.1
126;8;3;824.41;0.13
126;7;8;553.4;0.18
127;7;10;44.15;0.25
127;10;8;153.85;0.05
128;5;10;656.86;0.03
129;4;4;512.19;0.09
129;1;5;923.67;0.06
129;1;2;13.75;0.11
130;5;5;942.94;0.15
130;6;7;182.66;0.27
130;3;8;479.07;0.13
130;7;8;473.02;0.25
131;7;4;56.9;0.3
131;1;2;104.04;0.16
131;7;7;955.66;0.26
131;8;10;127.75;0.29
131;2;1;285.06;0.19
132;2;4;969.47;0.27
132;10;5;175.0;0.18
132;2;4;204.29;0.0
133;2;9;459.52;0.12
133;3;7;937.07;0.13
133;6;4;464.32;0.0
133;8;7;101.1;0.03
134;8;9;37.9;0.12
134;7;10;559.87;0.08
134;10;6;259.75;0.19
135;6;9;512.55;0.2
135;4;6;780.1;0.06
135;7;2;332.1;0.21
135;9;5;561.4;0.06
136;7;3;132.73;0.17
136;9;8;685.87;0.19
136;4;6;70.06;0.02
136;8;1;365.08;0.03
136;8;7;881.81;0.03
137;9;2;670.65;0.16
137;2;3;475.34;0.06
137;7;5;855.04;0.27
138;1;3;472.72;0.14
138;5;9;965.65;0.16
138;7;7;878.06;0.3
138;5;10;340.37;0.07
139;3;2;242.59;0.07
140;6;5;646.81;0.05
140;2;7;192.79;0.18
141;4;7;924.77;0.24
141;8;9;518.03;0.25
141;4;5;706.38;0.23
141;1;6;552.08;0.14
142;5;7;767.39;0.06
142;5;2;623.09;0.28
142;4;1;515.45;0.0
142;2;9;502.64;0.23
143;5;6;699.76;0.11
143;9;10;755.98;0.07
143;7;5;830.19;0.13
143;6;5;972.15;0.25
144;3;3;786.39;0.01
144;7;6;947.71;0.25
144;1;5;301.59;0.01
145;1;3;485.99;0.26
145;10;3;23.33;0.27
