id_pedido;id_cliente;id_vendedor;data_pedido;valor_total
1;39;8;14/05/2024;3581.24
2;29;9;29/03/2024;1839.68
3;15;5;15/01/2024;1140.32
4;43;6;28/11/2024;2561.25
5;8;4;27/12/2024;387.83
6;21;5;22/06/2024;4620.86
7;39;7;30/03/2024;1507.61
8;19;9;31/07/2024;4438.0
9;23;10;08/12/2024;2513.22
10;11;6;01/03/2024;4258.24
11;11;6;29/12/2024;1272.97
12;24;8;07/08/2024;917.59
13;36;4;01/03/2024;4254.59
14;40;3;02/11/2024;1103.97
15;24;7;14/06/2024;3743.67
16;3;5;12/01/2024;1755.69
17;22;2;03/08/2024;3753.56
18;2;2;17/03/2024;4542.85
19;24;6;19/08/2024;4909.11
20;44;8;21/04/2024;1831.06
21;30;1;06/03/2024;1869.25
22;38;6;30/06/2024;4907.87
23;2;2;22/07/2024;4314.56
24;21;2;24/07/2024;273.21
25;33;7;12/10/2024;2888.58
26;12;10;14/04/2024;947.16
27;22;1;29/08/2024;4970.36
28;44;6;22/08/2024;737.67
29;25;7;24/06/2024;2818.77
30;49;8;29/07/2024;3342.73
31;27;7;31/01/2024;4688.47
32;42;6;22/08/2024;4243.93
33;28;9;29/08/2024;1266.49
34;16;3;01/06/2024;2884.49
35;15;6;14/07/2024;4770.19
36;47;4;25/09/2024;3691.8
37;44;2;18/06/2024;3457.26
38;3;1;22/12/2024;3786.76
39;37;1;18/11/2024;1646.41
40;7;10;01/12/2024;3659.8
41;21;3;19/08/2024;1202.63
42;9;4;02/07/2024;2169.11
43;39;2;24/12/2024;4455.15
44;18;1;01/10/2024;143.91
45;4;4;01/02/2024;2100.88
46;25;7;25/06/2024;1370.77
47;14;10;05/03/2024;1033.02
48;50;6;16/07/2024;4200.95
49;9;6;27/01/2024;3497.67
50;26;9;30/05/2024;607.53
51;2;2;29/10/2024;2497.59
52;20;4;24/09/2024;2361.18
53;28;5;25/03/2024;755.51
54;47;1;06/03/2024;4008.83
55;7;8;12/05/2024;1865.04
56;44;8;31/12/2024;3821.59
57;8;6;22/03/2024;1000.71
58;47;5;14/11/2024;1609.61
59;35;8;23/11/2024;521.1
60;14;3;07/04/2024;760.22
61;17;3;13/03/2024;4421.76
62;36;2;22/11/2024;590.11
63;50;5;30/01/2024;523.87
64;40;3;04/05/2024;4704.87
65;4;3;28/07/2024;3247.22
66;2;6;28/09/2024;549.53
67;6;8;31/07/2024;4860.0
68;42;2;12/05/2024;778.15
69;4;4;05/06/2024;3843.41
70;29;7;16/02/2024;222.51
71;18;1;22/12/2024;3141.48
72;26;1;28/12/2024;2756.18
73;44;10;22/01/2024;1079.62
74;34;7;23/03/2024;3233.57
75;10;7;21/08/2024;3104.41
76;36;1;29/02/2024;4001.84
77;14;1;06/07/2024;4385.58
78;31;4;27/02/2024;2575.02
79;48;5;15/09/2024;2476.96
80;15;5;10/06/2024;3126.9
81;8;4;27/10/2024;3659.58
82;14;8;01/11/2024;1813.05
83;23;7;02/01/2024;2547.98
84;40;9;27/09/2024;2946.27
85;21;7;22/05/2024;4942.47
86;16;10;06/07/2024;2959.18
87;45;1;17/12/2024;1159.72
88;18;7;06/12/2024;2960.55
89;47;1;11/08/2024;4106.52
90;24;7;28/06/2024;4294.15
91;26;10;23/01/2024;4011.24
92;25;8;20/12/2024;4446.64
93;45;9;06/02/2024;1707.09
94;41;3;16/04/2024;2562.47
95;29;4;23/10/2024;3908.98
96;15;4;16/08/2024;1359.03
97;45;9;08/11/2024;1889.33
98;1;7;06/04/2024;4164.22
99;25;3;07/10/2024;3861.92
100;7;10;19/04/2024;4857.44
101;9;5;06/02/2024;4980.07
102;24;7;09/02/2024;1241.69
103;1;8;25/03/2024;4507.23
104;44;1;28/10/2024;517.85
105;8;2;06/07/2024;3563.51
106;24;7;27/08/2024;1139.49
107;11;2;23/12/2024;1536.54
108;17;7;19/12/2024;4734.29
109;8;9;19/01/2024;1352.6
110;35;2;12/12/2024;3382.23
111;35;7;20/11/2024;931.74
112;33;4;17/09/2024;512.28
113;5;2;06/06/2024;1729.62
114;42;7;30/10/2024;3139.77
115;39;5;21/04/2024;1277.33
116;41;1;23/05/2024;1535.84
117;28;5;12/09/2024;3558.21
118;7;3;18/01/2024;558.84
119;9;7;02/07/2024;2262.18
120;8;6;13/10/2024;4711.59
121;12;8;10/05/2024;2015.01
122;34;5;07/10/2024;2199.3
123;33;2;01/09/2024;3704.11
124;48;9;08/01/2024;3906.11
125;23;8;11/07/2024;3859.55
126;24;6;13/11/2024;4989.44
127;37;10;07/01/2024;403.68
128;35;7;15/05/2024;4912.15
129;44;9;19/01/2024;4753.44
130;40;7;18/05/2024;4268.09
131;22;3;25/06/2024;2297.92
132;27;6;11/01/2024;4360.97
133;35;7;10/02/2024;1143.12
134;1;2;23/04/2024;3968.7
135;35;3;28/06/2024;966.93
136;37;4;12/07/2024;4086.04
137;47;10;14/07/2024;3091.92
138;14;6;13/12/2024;535.25
139;3;1;12/08/2024;4481.83
140;1;9;26/11/2024;2910.89
141;5;5;18/11/2024;3298.43
142;26;7;17/09/2024;1453.37
143;14;9;25/04/2024;4364.6
144;39;9;29/05/2024;2748.74
145;27;1;27/04/2024;2134.55
146;9;1;13/06/2024;2694.69
147;15;3;08/09/2024;3531.4
148;15;6;23/09/2024;3490.49
149;26;2;13/02/2024;1820.01
150;42;10;29/06/2024;1957.03
151;13;1;17/03/2024;2833.08
152;32;1;25/04/2024;4625.82
153;39;5;07/03/2024;3739.88
154;49;4;13/01/2024;1982.55
155;32;1;01/04/2024;1718.31
156;4;4;02/09/2024;2642.0
157;30;3;23/09/2024;4356.46
158;37;2;18/05/2024;92.96
159;23;9;06/12/2024;3566.91
160;39;1;31/08/2024;1507.84
161;45;7;06/12/2024;1081.57
162;15;4;29/09/2024;110.08
163;43;5;30/10/2024;4488.12
164;29;10;09/07/2024;4565.63
165;36;5;06/04/2024;354.02
166;13;1;26/11/2024;2632.99
167;32;6;23/07/2024;805.24
168;7;9;16/05/2024;3805.5
169;22;2;17/03/2024;3343.69
170;28;7;06/02/2024;1520.8
171;2;6;12/10/2024;628.95
172;42;5;29/10/2024;4164.54
173;45;4;14/05/2024;3387.55
174;6;4;21/05/2024;83.76
175;28;6;10/09/2024;3157.97
176;28;4;17/02/2024;4060.97
177;44;5;11/09/2024;2974.3
178;44;6;13/05/2024;2152.33
179;20;5;16/10/2024;2940.4
180;30;7;26/07/2024;3117.57
181;11;9;10/04/2024;3218.17
182;28;10;15/02/2024;4836.87
183;25;7;10/03/2024;934.31
184;39;7;15/05/2024;3134.31
185;33;4;06/10/2024;980.57
186;1;1;07/03/2024;1089.29
187;27;8;04/01/2024;3362.83
188;13;4;11/08/2024;4583.97
189;41;1;01/01/2024;837.27
190;3;5;16/10/2024;4814.2
191;39;8;18/04/2024;1630.89
192;6;4;21/09/2024;1987.0
193;8;8;03/03/2024;810.72
194;27;8;22/09/2024;3098.39
195;9;3;17/05/2024;3002.28
196;37;9;13/02/2024;2239.24
197;33;3;18/09/2024;2406.65
198;42;1;03/08/2024;3133.73
199;44;2;30/04/2024;2938.31
200;24;6;31/05/2024;1902.6
201;15;10;31/07/2024;4426.37
202;32;2;21/08/2024;3354.92
203;32;6;16/12/2024;1066.76
204;24;1;20/04/2024;1633.52
205;41;1;26/12/2024;3950.0
206;49;5;15/11/2024;567.4
207;49;10;09/08/2024;3763.65
208;12;9;13/08/2024;1826.27
209;39;8;28/07/2024;2780.87
210;2;3;11/03/2024;1438.76
211;3;3;25/12/2024;4932.96
212;49;1;29/03/2024;4533.91
213;37;3;18/09/2024;4645.83
214;49;1;31/12/2024;964.64
215;17;8;06/07/2024;4216.37
216;49;1;21/04/2024;2700.22
217;2;5;26/08/2024;3553.9
218;2;9;12/09/2024;1126.65
219;28;7;29/05/2024;3574.32
220;23;4;06/05/2024;4575.62
221;37;9;14/11/2024;1374.03
222;32;9;30/09/2024;1205.13
223;33;2;28/11/2024;566.85
224;1;10;18/05/2024;1370.69
225;19;10;12/04/2024;2702.17
226;2;6;29/08/2024;4171.95
227;44;4;26/04/2024;1430.06
228;26;8;01/08/2024;3124.66
229;32;7;17/01/2024;2423.97
230;6;7;27/06/2024;1478.47
231;32;10;11/08/2024;2576.28
232;4;9;26/09/2024;881.41
233;11;5;08/11/2024;3215.91
234;17;6;14/12/2024;622.53
235;38;1;13/05/2024;3668.35
236;24;6;23/04/2024;929.68
237;5;2;11/05/2024;4990.89
238;34;6;18/05/2024;4127.18
239;6;9;30/12/2024;1752.01
240;22;8;19/08/2024;2159.71
241;11;9;01/04/2024;1333.0
242;48;10;23/09/2024;3847.22
243;16;8;08/04/2024;1934.6
244;33;3;25/07/2024;3788.17
245;9;8;08/01/2024;141.09
246;6;6;16/11/2024;721.32
247;16;6;02/04/2024;1856.62
248;29;6;06/06/2024;589.1
249;3;3;25/12/2024;3025.58
250;20;10;08/04/2024;301.62
251;36;1;12/08/2024;4305.83
252;19;4;05/12/2024;3818.47
253;26;10;26/07/2024;1120.47
254;3;6;13/03/2024;2444.77
255;19;10;28/02/2024;2286.47
256;20;2;13/10/2024;3638.08
257;32;7;04/03/2024;2037.47
258;7;7;12/09/2024;213.03
259;41;4;17/02/2024;1404.99
260;33;4;05/10/2024;2357.67
261;40;1;16/07/2024;4873.74
262;39;2;06/06/2024;4411.74
263;18;9;06/11/2024;947.96
264;40;10;07/01/2024;3630.22
265;1;8;04/09/2024;4687.29
266;11;8;19/08/2024;93.52
267;28;9;15/04/2024;3618.68
268;25;7;07/04/2024;2323.7
269;50;9;24/09/2024;3417.17
270;23;10;29/02/2024;3047.67
271;31;2;03/11/2024;4924.09
272;30;6;19/05/2024;1479.64
273;42;3;23/11/2024;3941.41
274;35;6;08/07/2024;1211.47
275;7;3;04/05/2024;2206.26
276;16;8;11/06/2024;4878.14
277;26;4;29/02/2024;3842.37
278;48;10;31/01/2024;1613.32
279;49;6;28/11/2024;3115.88
280;2;9;16/03/2024;295.98
281;1;2;30/08/2024;1368.65
282;48;2;12/11/2024;3606.03
283;12;7;14/09/2024;2871.96
284;5;2;08/07/2024;2374.88
285;37;2;10/11/2024;3469.84
286;32;4;22/10/2024;2022.37
287;9;9;25/06/2024;179.47
288;41;8;14/10/2024;2233.08
289;35;2;20/10/2024;4515.54
290;19;8;13/12/2024;4290.24
291;48;4;25/07/2024;2074.54
292;16;2;02/08/2024;160.0
293;3;10;09/12/2024;3199.72
294;20;7;20/05/2024;3718.91
295;24;6;25/03/2024;1506.51
296;33;10;30/06/2024;2409.49
297;24;5;27/11/2024;4959.69
298;11;1;07/05/2024;2902.9
299;49;2;25/09/2024;1787.82
300;8;8;08/02/2024;3156.07
301;36;1;23/01/2024;941.11
302;38;3;29/08/2024;1036.3
303;40;2;31/12/2024;4628.38
304;20;5;16/04/2024;1234.04
305;35;4;13/12/2024;1588.41
306;48;7;21/05/2024;2741.7
307;25;5;24/05/2024;4503.48
308;35;8;06/10/2024;3918.17
309;25;4;01/09/2024;266.73
310;29;6;09/07/2024;3480.5
311;18;4;16/10/2024;2545.1
312;46;2;27/06/2024;2403.99
313;18;1;21/04/2024;3473.21
314;2;1;01/08/2024;1021.35
315;35;8;17/05/2024;4908.37
316;16;4;18/07/2024;3244.27
317;41;5;07/01/2024;1860.0
318;36;8;11/12/2024;3021.0
319;33;7;13/01/2024;1121.53
320;4;8;20/03/2024;3187.52
321;33;8;12/10/2024;189.67
322;14;6;07/06/2024;1738.85
323;21;10;28/09/2024;3750.21
324;48;2;19/07/2024;4049.49
325;20;6;29/05/2024;1301.95
326;8;1;22/10/2024;2720.08
327;7;1;19/10/2024;2666.04
328;3;3;29/11/2024;2136.21
329;17;3;28/09/2024;1180.74
330;33;5;12/02/2024;3530.98
331;48;1;14/11/2024;1299.19
332;12;10;15/01/2024;4559.58
333;22;6;04/09/2024;2666.08
334;22;7;20/06/2024;4358.87
335;46;10;05/08/2024;1489.18
336;30;3;16/05/2024;4045.04
337;38;4;16/11/2024;612.63
338;38;10;14/08/2024;3845.81
339;45;10;13/02/2024;1965.38
340;8;10;20/01/2024;2376.45
341;27;10;28/04/2024;875.7
342;27;10;21/08/2024;142.21
343;34;3;01/12/2024;3347.68
344;21;1;21/12/2024;2959.21
345;30;8;18/09/2024;3131.02
346;33;10;23/03/2024;1312.26
347;28;10;31/01/2024;1234.42
348;47;2;17/11/2024;4159.97
349;33;1;30/09/2024;3818.2
350;5;8;21/08/2024;1717.11
351;48;7;28/01/2024;3207.14
352;19;7;08/09/2024;4149.34
353;4;4;19/11/2024;4449.71
354;35;9;09/09/2024;78.74
355;49;6;26/08/2024;4076.64
356;17;2;09/11/2024;1784.44
357;44;1;23/06/2024;3605.97
358;28;1;12/07/2024;1888.44
359;30;9;28/06/2024;3050.93
360;29;4;21/10/2024;3251.57
361;46;5;02/08/2024;2054.71
362;6;3;21/07/2024;2588.29
363;35;4;06/09/2024;3645.25
364;41;8;27/12/2024;2407.71
365;37;4;13/09/2024;119.2
366;24;9;15/03/2024;113.88
367;29;9;09/12/2024;3323.49
368;49;6;20/07/2024;4243.83
369;46;2;21/05/2024;3937.1
370;31;10;24/07/2024;1586.48
371;35;7;17/07/2024;2382.08
372;33;9;19/06/2024;1209.1
373;21;6;11/11/2024;4946.29
374;32;3;15/08/2024;1339.51
375;23;7;27/06/2024;2110.49
376;33;5;31/12/2024;3421.59
377;3;1;01/10/2024;4386.29
378;18;3;02/03/2024;304.8
379;25;5;22/11/2024;1540.05
380;42;7;22/07/2024;2866.48
381;31;3;12/05/2024;3110.65
382;3;6;12/03/2024;396.64
383;40;5;18/03/2024;3337.19
384;46;1;07/07/2024;2663.92
385;24;10;21/12/2024;4146.76
386;50;6;11/03/2024;1149.84
387;32;8;19/09/2024;1015.38
388;47;1;01/11/2024;3977.02
389;22;2;15/02/2024;3534.15
390;23;4;11/08/2024;3968.78
391;2;2;23/11/2024;3920.57
392;27;9;06/09/2024;564.8
393;42;10;16/03/2024;1428.99
394;2;8;14/03/2024;1337.42
395;26;8;21/05/2024;4676.21
396;17;4;13/03/2024;2462.96
397;40;5;11/04/2024;599.73
398;33;4;03/04/2024;1483.41
399;9;9;09/03/2024;4365.91
400;43;2;05/03/2024;4242.98
401;48;8;11/07/2024;4506.68
402;39;2;02/03/2024;1973.22
403;29;1;20/01/2024;3224.64
404;42;10;28/08/2024;1426.96
405;26;3;21/07/2024;945.09
406;35;9;26/10/2024;158.41
